c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment,c_comment
1,Etom,United Kingdom,212,ZeYTpnXq,171.04,WRGkHAnBA,dAaBfrX
2,Rese,Guatemala,36," CB",85.68,rxWHPWrsEo,GuIZwg FZX
3,Schlosser,Comoros,597,pXD,121.66,WlLXgD,txayF
4,Yerkovich,Chad,555,"LEsP ",837.8," truVlm",CFP
5,Yusuk,Kuwait,700,cMcJrBqi,309.33,OGT,IQNQcDF
6,Bates,Saint Kitts and Nevis,946,zjTwej,482.79,sKLJkJ,Acq
7,Elvyn,Oman,620,AY,696.57,FsN mt,cmwvMMN
8,Noman,China,779,ULBZ,921.09," fFI",qsSnEJyX
9,Mayeda,Northern Mariana Islands,653,SYasRYZSM,417.56,xEWz,ZUbLpltYYq
10,Noam,Dominican Republic,534,xdhCiG,624.2,CMXiFAzgJe,esjv
11,Remmer,Turkmenistan,786,VRcpjb,742.88,xilf,gXq xIOg
12,Quinn,El Salvador,35," PmvAAukl",402.05,MiHCCe,AbDFDoOxM
13,Wesle,Venezuela,419,zqQu,162.48,eQ,IiBJJJV
14,Anderea,Wallis and Futuna,308,mKSz,938.98,vEKUtaWfj,iTWILJh
15,Secrest,Northern Mariana Islands,418,luufa,32.55,ByWZ,vPBpBE
16,Daniele,Hong Kong,337,l qgtK,28.4,pcNrLJU,fE
17,Pitt,"Virgin Islands, U.S.",955,zKBJpvyhe,374.64,GnyQSB,Qpz
18,Kiersten,Estonia,774,v muyMz,241.32,BpPSzc,cghHGVhg
19,Giule,Kiribati,671,jDzvnCtuu,827.71,QoInM,yJUauNP
20,Laurianne,Martinique,860,Kuxm,338.62,CMr,BK
21,Heidt,Sweden,597,vzyU,828.73,"AF ",vGhoiij
22,Melony,Montserrat,708,vzocU,635.24,eExGHzhW,ESoRUCT
23,Roarke,Cayman Islands,746,NNSxqz bM,260.55,smnJX,BQrRlg
24,Ashok,Cape Verde,815,WKyVCI,848.02,TmR,quRTRwHFFa
25,Tengdin,Turkey,399,oz,634.6,ygYWSTnaVa,vGMdf
26,Herrera,French Polynesia,466,KtvfcN,326.16,RRhhe," Tve jc"
27,Pip,Ukraine,520,lHaQn,695.52,RmDRsHSQm,ef
